length
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
5
3
3
3
5
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
5
3
3
4
3
3
3
3
4
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
2
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
6
3
4
3
3
3
3
3
4
3
3
4
4
3
3
3
3
3
2
3
3
2
4
2
3
3
4
3
3
3
3
3
3
3
3
4
4
4
3
3
4
4
3
3
3
3
2
4
4
3
3
3
3
3
3
4
3
2
3
3
4
3
4
3
4
4
4
3
3
3
3
3
3
4
6
4
3
3
3
5
3
3
3
3
3
3
3
4
3
4
2
4
3
3
3
5
3
3
3
4
3
3
3
3
3
3
4
6
3
4
3
3
4
4
3
4
3
2
3
6
4
3
5
5
4
3
4
3
3
4
6
2
3
3
3
3
5
3
3
3
4
3
3
3
4
6
5
4
4
5
4
4
5
5
4
6
3
5
4
6
5
9
4
6
3
7
3
4
13
10
9
6
5
10
16
3
13
9
4
8
3
5
5
3
4
4
2
3
12
11
13
3
4
4
4
3
15
5
6
4
3
3
8
6
17
4
5
10
17
3
5
9
5
8
8
13
3
17
5
32
16
3
15
11
20
11
12
14
5
15
3
9
10
12
8
10
19
13
4
28
7
21
9
3
13
11
16
14
18
7
8
5
9
7
5
22
16
12
29
14
17
13
12
18
10
4
10
10
9
9
15
6
12
12
13
3
4
9
11
17
8
16
12
5
18
14
14
15
3
6
8
12
9
12
10
16
6
14
17
11
19
16
11
10
19
6
1
6
13
4
6
15
13
25
12
26
8
13
4
8
9
14
9
12
10
13
7
24
18
20
6
18
8
25
4
3
23
13
15
3
19
10
13
14
24
13
5
5
9
12
11
12
5
15
6
