length
3
3
3
3
4
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
2
3
3
3
3
3
3
3
3
3
2
3
3
3
3
3
3
4
2
4
3
3
4
2
4
3
3
3
3
3
5
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
5
3
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
4
3
3
3
3
3
3
4
3
4
3
3
4
3
4
3
3
4
3
3
3
3
4
3
4
7
4
3
5
4
2
3
3
3
3
3
4
3
3
4
4
4
3
3
3
5
3
3
2
3
5
4
3
5
1
3
4
3
3
4
4
3
3
3
3
6
3
3
5
3
3
3
3
3
3
4
3
4
3
6
4
4
2
7
5
3
4
3
3
4
3
3
3
5
3
3
5
10
4
6
5
3
3
3
4
4
3
9
3
4
3
3
3
3
3
4
1
4
7
3
1
3
3
5
5
2
6
5
3
4
3
10
6
3
6
3
3
3
15
5
4
6
6
9
6
6
3
6
8
3
6
1
3
15
5
2
5
6
7
5
8
6
7
5
8
5
7
5
10
12
5
17
5
5
2
11
13
17
5
6
9
7
6
2
11
5
3
5
1
7
3
3
5
4
1
6
5
7
3
3
13
4
12
4
5
9
19
6
21
16
4
8
11
6
7
14
4
5
4
14
14
15
5
12
7
3
14
3
6
7
8
15
13
8
15
4
5
15
12
7
16
12
4
17
14
22
13
4
8
18
13
24
8
13
26
19
5
6
3
25
6
28
7
31
8
23
4
9
2
6
8
3
20
8
9
14
14
22
10
6
15
16
16
15
18
4
13
10
17
12
5
16
34
26
15
6
6
6
20
17
24
4
14
6
19
6
18
15
18
19
13
21
25
4
7
4
10
8
5
6
16
12
5
14
19
5
4
6
8
16
18
26
10
5
6
22
13
20
21
24
24
5
19
21
15
19
5
11
14
12
7
14
12
17
7
16
10
18
17
4
14
8
14
4
7
28
5
17
10
9
17
14
10
13
9
6
21
9
7
6
3
11
12
12
6
21
4
30
8
6
6
13
13
5
13
8
6
20
5
9
8
3
7
3
22
19
9
6
12
19
4
18
8
3
5
7
8
8
5
12
25
12
3
8
10
9
11
28
7
5
5
9
11
9
19
16
8
9
15
26
20
10
11
12
23
15
3
13
10
11
25
8
5
19
11
8
19
12
19
28
6
22
16
11
13
12
6
8
10
13
17
20
20
11
17
11
6
11
23
23
4
8
6
26
20
15
21
13
23
7
18
9
18
19
4
15
6
25
5
17
21
8
21
18
18
22
9
5
13
11
6
12
7
13
11
9
9
13
23
5
7
8
17
4
13
16
11
11
19
21
26
8
13
19
13
13
13
20
14
18
30
15
12
13
12
15
3
4
11
27
10
5
19
10
14
3
26
17
22
11
9
20
23
16
16
11
14
8
13
18
15
14
25
12
20
8
3
13
23
19
16
13
15
6
4
26
12
9
8
19
15
11
16
15
16
12
14
25
21
14
14
26
29
14
3
13
17
6
18
21
5
19
28
18
28
27
10
15
13
8
14
30
14
11
19
11
7
14
14
22
13
20
8
3
8
20
19
19
20
22
32
17
19
18
18
13
22
12
22
21
15
9
17
5
21
15
23
15
18
17
23
11
22
20
18
15
15
3
25
14
15
22
9
9
17
13
19
6
17
10
7
19
15
7
23
25
8
14
17
19
31
19
21
16
28
18
20
12
22
20
14
4
10
17
12
15
19
21
25
14
13
20
16
18
22
8
25
14
28
26
17
16
16
14
8
22
6
14
19
13
3
22
12
15
17
18
3
16
13
36
4
15
17
18
8
18
18
5
19
4
21
25
14
7
25
19
17
10
11
4
5
7
3
5
4
3
3
5
19
5
7
11
8
12
28
10
15
20
7
3
6
5
15
8
9
13
4
16
5
4
3
4
4
3
4
3
16
7
5
5
4
9
4
4
3
17
6
9
9
25
25
12
10
17
33
14
11
22
9
23
14
13
10
11
12
20
26
20
10
15
22
10
27
4
14
28
14
14
